zone,surplus_event_id,start_time,end_time,duration_h,min_price,mean_price,max_net_surplus_mw,mean_renewable_share,mean_wind100,mean_load_mw,mean_net_export_mw,max_export_utilisation,mean_bal_price_down,mean_abs_imbalance,mean_severity
NO1,49,2023-09-24 20:00:00,2023-09-25 04:00:00,9,-1.67,-0.054444444444444434,563.6599999999994,0.9922051909767825,6.898685055662546,2619.8622222222225,411.0722222222222,0.0,-4.528888888888889,98.82481288888889,3.7568487344187735
SE2,31,2023-05-29 21:00:00,2023-05-29 21:00:00,1,3.02,3.02,5884.2300000000005,0.9959515320658838,9.658630620785656,1153.0,5888.11,0.0,3.02,0.0,3.7514626410345198
NO1,15,2023-07-23 05:00:00,2023-07-23 11:00:00,7,0.2,3.244285714285714,538.1600000000001,0.9909172237140199,1.3865676575383936,2063.464285714286,452.2471428571429,0.0,1.0657142857142858,63.454727428571424,3.751089055123161
NO1,27,2023-09-01 22:00:00,2023-09-05 05:00:00,80,-2.66,0.28612499999999996,920.3699999999999,0.992799656437378,2.904137688831639,2586.190375,405.31912500000004,0.0,-1.06325,58.21654925,3.7472927297948595
NO1,98,2024-07-28 07:00:00,2024-07-28 15:00:00,9,-48.69,-15.197777777777778,609.4000000000001,0.9928283777088411,3.234849393701479,2372.1633333333334,133.61111111111111,0.0,-23.586666666666666,40.85509677777778,3.741798424785413
NO1,29,2023-09-06 20:00:00,2023-09-07 04:00:00,9,3.0,3.4377777777777774,622.8400000000001,0.9924433304560064,2.046351946539059,2455.46,436.2300000000001,0.0,3.4377777777777774,134.97595022222222,3.710509418660556
SE2,281,2024-12-06 15:00:00,2024-12-07 02:00:00,12,4.08,4.635833333333333,6471.91,0.997490616120404,7.219342941119582,1900.1666666666667,5930.359166666666,0.0,3.4033333333333338,0.0,3.7068737038388293
NO1,16,2023-07-23 13:00:00,2023-07-23 13:00:00,1,4.95,4.95,453.9600000000005,0.9911269642340691,1.7727338705515754,2139.29,435.2900000000001,0.0,4.95,96.211416,3.701443142862864
NO1,97,2024-07-21 09:00:00,2024-07-21 12:00:00,4,-0.06,0.6525,347.40999999999985,0.9927219133192311,4.005894286065509,2235.0575,384.89250000000004,0.0,0.12249999999999994,116.1927065,3.698438989320765
NO1,45,2023-09-22 20:00:00,2023-09-23 07:00:00,12,-0.22,0.39166666666666666,573.6400000000003,0.992686599008045,1.6923650884822619,2654.6633333333334,373.86500000000007,0.0,-0.145,232.473254,3.6932883495695896
SE2,266,2024-11-20 16:00:00,2024-11-21 01:00:00,10,-0.81,1.2899999999999998,6330.02,0.9929906898170643,10.65804350577916,1900.3,5844.442,0.0,1.2899999999999998,0.0,3.691196646775962
NO1,126,2024-09-09 22:00:00,2024-09-10 04:00:00,7,-0.22,-0.09999999999999999,618.04,0.9956436351448222,1.9132890239371332,2423.1114285714284,345.75,0.0,-0.09999999999999999,97.21049257142856,3.6895655555539846
SE2,268,2024-11-21 11:00:00,2024-11-22 02:00:00,16,1.49,4.22,6265.439999999999,0.9943461453346396,11.145687221918799,2090.8125,5808.509375000001,0.0,-5.363125,0.0,3.5933658628221954
SE2,291,2024-12-24 08:00:00,2024-12-24 12:00:00,5,4.28,4.686,5904.960000000001,0.998341601111543,7.523842625126422,2663.4,5896.5160000000005,0.0,4.686,0.0,3.587634942633032
SE2,33,2023-06-01 11:00:00,2023-06-01 15:00:00,5,3.01,4.574,5973.23,0.9895619544075936,10.130761459469648,1664.0,5839.5419999999995,0.0,-2.806,0.0,3.5815941289395568
SE2,294,2024-12-28 18:00:00,2024-12-31 13:00:00,68,-0.58,2.0658823529411765,6932.389999999999,0.9962894157139786,8.622073978482225,1983.0735294117646,5767.271323529412,0.0,0.5083823529411765,0.0,3.5622699203049693
SE1,283,2024-11-13 01:00:00,2024-11-13 03:00:00,3,3.63,4.033333333333333,2966.6099999999997,0.9978491642005599,10.205014618756572,1275.3333333333333,2765.476666666667,0.0,-6.0,0.0,3.534143049006056
